area,dispatch_zone,slot_position
N1-1,WIRE,FRONT
N1-2,WIRE,FRONT
N1-3,WIRE,FRONT
N1-4,WIRE,FRONT
N1-5,WIRE,FRONT
N1-6,WIRE,FRONT
N1-7,WIRE,FRONT
N1-8,WIRE,FRONT
N1-9,WIRE,FRONT
N1-10,WIRE,FRONT
N1-11,WIRE,FRONT
N1-12,WIRE,FRONT
N1-13,WIRE,FRONT
N1-14,WIRE,FRONT
N1-15,WIRE,FRONT
N1-16,WIRE,REAR
N2-1,WIRE,REAR
N2-2,WIRE,REAR
N2-3,WIRE,REAR
N2-4,WIRE,REAR
N2-5,WIRE,REAR
N2-6,WIRE,REAR
N2-7,WIRE,REAR
N2-8,WIRE,REAR
N2-9,WIRE,REAR
N2-10,WIRE,REAR
N2-11,WIRE,REAR
N2-12,WIRE,REAR
N2-13,WIRE,REAR
N2-14,WIRE,REAR
N2-15,WIRE,REAR
N2-16,WIRE,REAR
N3-1,WIRE,REAR
N3-2,WIRE,REAR
N3-3,WIRE,REAR
N3-4,WIRE,REAR
N3-5,WIRE,REAR
N3-6,WIRE,REAR
N3-7,WIRE,REAR
N3-8,WIRE,REAR
N3-9,WIRE,REAR
N3-10,WIRE,REAR
N3-11,WIRE,REAR
N3-12,WIRE,REAR
N3-13,WIRE,REAR
N3-14,WIRE,REAR
N3-15,WIRE,REAR
N3-16,WIRE,FRONT
N4-1,WIRE,FRONT
N4-2,WIRE,FRONT
N4-3,WIRE,FRONT
N4-4,WIRE,FRONT
N4-5,WIRE,FRONT
N4-6,WIRE,FRONT
N4-7,WIRE,FRONT
N4-8,WIRE,FRONT
N4-9,WIRE,FRONT
N4-10,WIRE,FRONT
N4-11,WIRE,FRONT
N4-12,WIRE,FRONT
N4-13,WIRE,FRONT
N4-14,WIRE,FRONT
N4-15,WIRE,FRONT
N4-16,WIRE,FRONT
N5-1,WIRE,FRONT
N5-2,WIRE,FRONT
N5-3,WIRE,FRONT
N5-4,WIRE,FRONT
N5-5,WIRE,FRONT
N5-6,WIRE,FRONT
N5-7,WIRE,FRONT
N5-8,WIRE,FRONT
N5-9,WIRE,FRONT
N5-10,WIRE,FRONT
N5-11,WIRE,FRONT
N5-12,WIRE,FRONT
N5-13,WIRE,FRONT
N5-14,WIRE,FRONT
N5-15,WIRE,FRONT
N5-16,WIRE,REAR
N6-1,WIRE,REAR
N6-2,WIRE,REAR
N6-3,WIRE,REAR
N6-4,WIRE,REAR
N6-5,WIRE,REAR
N6-6,WIRE,REAR
N6-7,WIRE,REAR
N6-8,WIRE,REAR
N6-9,WIRE,REAR
N6-10,WIRE,REAR
N6-11,WIRE,REAR
N6-12,WIRE,REAR
N6-13,WIRE,REAR
N6-14,WIRE,REAR
N6-15,WIRE,REAR
N6-16,WIRE,REAR
N7-1,WIRE,REAR
N7-2,WIRE,REAR
N7-3,WIRE,REAR
N7-4,WIRE,REAR
N7-5,WIRE,REAR
N7-6,WIRE,REAR
N7-7,WIRE,REAR
N7-8,WIRE,REAR
N7-9,WIRE,REAR
N7-10,WIRE,REAR
N7-11,WIRE,REAR
N7-12,WIRE,REAR
N7-13,WIRE,REAR
N7-14,WIRE,REAR
N7-15,WIRE,REAR
N7-16,WIRE,FRONT
N11-1,WIRE,FRONT
N11-2,WIRE,FRONT
N11-3,WIRE,FRONT
N11-4,WIRE,FRONT
N11-5,WIRE,FRONT
N11-6,WIRE,FRONT
N11-7,WIRE,FRONT
N11-8,WIRE,FRONT
N11-9,WIRE,FRONT
N12-1,WIRE,FRONT
N12-2,WIRE,FRONT
N12-3,WIRE,FRONT
N12-4,WIRE,FRONT
N12-5,WIRE,FRONT
N12-6,WIRE,FRONT
N12-7,WIRE,FRONT
N12-8,WIRE,FRONT
N12-9,WIRE,REAR
N13-1,WIRE,REAR
N13-2,WIRE,REAR
N13-3,WIRE,REAR
N13-4,WIRE,REAR
N13-5,WIRE,REAR
N13-6,WIRE,REAR
N13-7,WIRE,REAR
N13-8,WIRE,REAR
N14-1,WIRE,REAR
N14-2,WIRE,REAR
N14-3,WIRE,REAR
N14-4,WIRE,REAR
N14-5,WIRE,REAR
N14-6,WIRE,REAR
N14-7,WIRE,REAR
N14-8,WIRE,FRONT
N15-1,WIRE,FRONT
N15-2,WIRE,FRONT
N15-3,WIRE,FRONT
N15-4,WIRE,FRONT
N15-5,WIRE,FRONT
N15-6,WIRE,FRONT
