2026-09-01T00:41:42.0120811+08:00	Information	App	车载端启动：agvId=AGV-8005-T07，environment=Production，version=0.2.0-safety-mock-travel+31263b1ffd372db1f27af5e1143ebad7e7679715。
2026-09-01T00:41:49.8265804+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
2026-09-01T00:41:50.7144436+08:00	Warning	ModbusTcpIoModuleClient	IO通信中断，将自动重连。 | TimeoutException: Modbus TCP请求超时。
2026-09-01T00:41:51.8547325+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
2026-09-01T00:41:53.8735677+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
2026-09-01T00:41:55.8929342+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
2026-09-01T00:41:57.9081639+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
2026-09-01T00:41:59.9304435+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
2026-09-01T00:42:01.9444103+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
2026-09-01T00:42:03.9598418+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
2026-09-01T00:42:05.9769405+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
2026-09-01T00:42:07.9860842+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
2026-09-01T00:42:09.9957395+08:00	Warning	WireToGateSessionService	上层会话不可用：Received an unexpected EOF or 0 bytes from the transport stream.。将在2秒后重连。
