2026-09-01T00:44:32.3769536+08:00	Information	App	车载端启动：agvId=AGV-8005-T07，environment=Production，version=0.2.0-safety-mock-travel+238b46eb2c9ae90584e4288a782176f66b7de942。
2026-09-01T00:44:33.1961150+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:34.0529563+08:00	Warning	ModbusTcpIoModuleClient	IO通信中断，将自动重连。 | TimeoutException: Modbus TCP请求超时。
2026-09-01T00:44:35.2308666+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:37.2614736+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:39.2901698+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:41.3093411+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:43.3366547+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:45.3645059+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:47.3938216+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:49.4193161+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:51.4455183+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:53.4704066+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:55.5076682+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:57.5359045+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:44:59.5635240+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:45:01.5905932+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:45:03.6186239+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
2026-09-01T00:45:05.6588746+08:00	Warning	WireToGateSessionService	上层会话不可用：ControlServer在会话恢复期间关闭了连接。。将在2秒后重连。
