2026-09-10T14:27:08.8824424+08:00	Information	App	车载端启动：agvId=AGV-8005-STAGED-G3-RESTART-01，environment=Development，version=0.2.0-safety-mock-travel+afba86e07116192bde386937c559cc7a70a00a7f。
2026-09-10T14:27:09.4838588+08:00	Information	ModbusTcpIoModuleClient	已连接IO模块 127.0.0.1:1502，UnitId=255。
2026-09-10T14:27:09.4951550+08:00	Information	OnboardController	IO模块在线。
2026-09-10T14:27:09.4980153+08:00	Information	OnboardController	启动IO安全快照验证通过。
2026-09-10T14:27:09.6774327+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:11.7116682+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:13.7457231+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:15.7731398+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:17.7994839+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:19.8348866+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:21.8625345+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:23.8947117+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:25.9509700+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:30.0182441+08:00	Warning	WireToGateSessionService	上层会话不可用：No connection could be made because the target machine actively refused it.。将在2秒后重连。
2026-09-10T14:27:34.4354393+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:36.4868438+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:38.5375142+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:40.5782984+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:42.6145650+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
2026-09-10T14:27:44.6521634+08:00	Warning	WireToGateSessionService	上层会话不可用：SLOT_CONFIGURATION_FINGERPRINT_MISMATCH。将在2秒后重连。
