utc,committedGiB,limitGiB
2026-09-19T15:18:33.9224211Z,3.45,16.00
2026-09-19T15:18:36.2644978Z,4.20,16.00
2026-09-19T15:18:38.5714630Z,4.86,16.00
2026-09-19T15:18:40.8626508Z,4.99,16.00
2026-09-19T15:18:43.1477185Z,5.69,16.00
2026-09-19T15:18:45.4707480Z,4.83,16.00
2026-09-19T15:18:47.7538705Z,5.27,16.00
2026-09-19T15:18:50.0422601Z,5.03,16.00
2026-09-19T15:18:52.3425229Z,5.22,16.00
2026-09-19T15:18:54.6585955Z,4.69,16.00
2026-09-19T15:18:56.9624120Z,4.88,16.00
2026-09-19T15:18:59.2566670Z,5.31,16.00
2026-09-19T15:19:01.5588014Z,5.94,16.00
2026-09-19T15:19:03.8699773Z,4.68,16.00
2026-09-19T15:19:06.1808565Z,3.46,16.00
2026-09-19T15:19:08.4846642Z,3.65,16.00
2026-09-19T15:19:10.7907152Z,3.80,16.00
2026-09-19T15:19:13.0883477Z,3.86,16.00
2026-09-19T15:19:15.3905597Z,3.80,16.00
2026-09-19T15:19:17.6931907Z,3.89,16.00
2026-09-19T15:19:19.9789979Z,4.06,16.00
2026-09-19T15:19:22.2821337Z,4.13,16.00
2026-09-19T15:19:24.5928458Z,4.13,16.00
2026-09-19T15:19:26.8741376Z,4.09,16.00
2026-09-19T15:19:29.1661967Z,4.11,16.00
2026-09-19T15:19:31.4807373Z,4.14,16.00
2026-09-19T15:19:33.7783207Z,4.17,16.00
2026-09-19T15:19:36.0918105Z,4.13,16.00
2026-09-19T15:19:38.4054958Z,4.13,16.00
2026-09-19T15:19:40.7198109Z,4.13,16.00
2026-09-19T15:19:43.0297246Z,4.13,16.00
2026-09-19T15:19:45.3415655Z,4.13,16.00
2026-09-19T15:19:47.6472928Z,4.13,16.00
2026-09-19T15:19:49.9565802Z,4.13,16.00
2026-09-19T15:19:52.2662382Z,4.14,16.00
2026-09-19T15:19:54.5797253Z,4.14,16.00
2026-09-19T15:19:56.8911935Z,4.14,16.00
2026-09-19T15:19:59.2076979Z,4.15,16.00
2026-09-19T15:20:01.5174687Z,4.14,16.00
2026-09-19T15:20:03.8334106Z,4.15,16.00
2026-09-19T15:20:06.1460158Z,4.15,16.00
2026-09-19T15:20:08.4586456Z,4.15,16.00
2026-09-19T15:20:10.7601849Z,4.15,16.00
2026-09-19T15:20:13.0929571Z,4.15,16.00
2026-09-19T15:20:15.4073817Z,4.15,16.00
2026-09-19T15:20:17.7153502Z,4.15,16.00
2026-09-19T15:20:20.0317587Z,4.15,16.00
2026-09-19T15:20:22.3448061Z,4.15,16.00
2026-09-19T15:20:24.6558157Z,4.16,16.00
2026-09-19T15:20:26.9709257Z,4.16,16.00
2026-09-19T15:20:29.2866220Z,4.16,16.00
2026-09-19T15:20:31.5917465Z,4.16,16.00
2026-09-19T15:20:33.8849030Z,4.15,16.00
2026-09-19T15:20:36.1989685Z,4.15,16.00
2026-09-19T15:20:38.5094998Z,4.15,16.00
2026-09-19T15:20:40.8094522Z,4.16,16.00
2026-09-19T15:20:43.1243985Z,4.16,16.00
2026-09-19T15:20:45.4411128Z,4.16,16.00
2026-09-19T15:20:47.7526060Z,4.16,16.00
2026-09-19T15:20:50.0677184Z,4.17,16.00
2026-09-19T15:20:52.3815725Z,4.17,16.00
2026-09-19T15:20:54.6936432Z,4.17,16.00
2026-09-19T15:20:57.0098623Z,4.16,16.00
2026-09-19T15:20:59.3095668Z,4.17,16.00
2026-09-19T15:21:01.6216049Z,4.16,16.00
2026-09-19T15:21:03.9362292Z,4.17,16.00
