utc,committedGiB,limitGiB
2026-09-20T13:25:04.7733483Z,5.36,16.00
2026-09-20T13:25:07.1098765Z,5.89,16.00
2026-09-20T13:25:09.4167856Z,5.27,16.00
2026-09-20T13:25:11.7194632Z,5.33,16.00
2026-09-20T13:25:14.0239049Z,5.80,16.00
2026-09-20T13:25:16.3230068Z,5.40,16.00
2026-09-20T13:25:18.6144308Z,5.59,16.00
2026-09-20T13:25:20.9202843Z,5.11,16.00
2026-09-20T13:25:23.2269346Z,5.28,16.00
2026-09-20T13:25:25.5344918Z,5.63,16.00
2026-09-20T13:25:27.8565141Z,6.56,16.00
2026-09-20T13:25:30.1671368Z,6.72,16.00
2026-09-20T13:25:32.4729951Z,3.93,16.00
2026-09-20T13:25:34.7827571Z,3.93,16.00
2026-09-20T13:25:37.0851649Z,3.94,16.00
2026-09-20T13:25:39.4092141Z,4.14,16.00
2026-09-20T13:25:41.7147625Z,4.48,16.00
2026-09-20T13:25:44.0165752Z,4.48,16.00
2026-09-20T13:25:46.3064920Z,4.94,16.00
2026-09-20T13:25:48.5985916Z,4.44,16.00
2026-09-20T13:25:50.8977221Z,4.34,16.00
2026-09-20T13:25:53.2085596Z,4.51,16.00
2026-09-20T13:25:55.4988872Z,3.96,16.00
2026-09-20T13:25:57.8112990Z,4.09,16.00
2026-09-20T13:26:00.1156898Z,4.22,16.00
2026-09-20T13:26:02.4339851Z,4.29,16.00
2026-09-20T13:26:04.7602691Z,4.22,16.00
2026-09-20T13:26:07.0725647Z,4.31,16.00
2026-09-20T13:26:09.3757905Z,4.39,16.00
2026-09-20T13:26:11.6816974Z,4.52,16.00
2026-09-20T13:26:13.9733126Z,4.54,16.00
2026-09-20T13:26:16.2781799Z,4.55,16.00
2026-09-20T13:26:18.5764785Z,4.51,16.00
2026-09-20T13:26:20.8918181Z,4.60,16.00
2026-09-20T13:26:23.2085157Z,4.61,16.00
2026-09-20T13:26:25.5217144Z,4.52,16.00
2026-09-20T13:26:27.8197554Z,4.63,16.00
2026-09-20T13:26:30.1202401Z,4.61,16.00
2026-09-20T13:26:32.4257388Z,4.60,16.00
2026-09-20T13:26:34.7390720Z,4.60,16.00
2026-09-20T13:26:37.0887058Z,4.60,16.00
2026-09-20T13:26:39.3990294Z,4.60,16.00
2026-09-20T13:26:41.7168774Z,4.60,16.00
2026-09-20T13:26:44.0224659Z,4.61,16.00
2026-09-20T13:26:46.3276859Z,4.61,16.00
2026-09-20T13:26:48.6412824Z,4.61,16.00
