utc,committedGiB,limitGiB
2026-09-19T16:47:54.3374836Z,4.19,16.00
2026-09-19T16:47:56.6500202Z,4.83,16.00
2026-09-19T16:47:58.9649936Z,5.07,16.00
2026-09-19T16:48:01.2628107Z,5.48,16.00
2026-09-19T16:48:03.5509567Z,5.01,16.00
2026-09-19T16:48:05.8537970Z,4.93,16.00
2026-09-19T16:48:08.1320655Z,5.30,16.00
2026-09-19T16:48:10.4449880Z,4.95,16.00
2026-09-19T16:48:12.7442488Z,5.23,16.00
2026-09-19T16:48:15.0689733Z,5.34,16.00
2026-09-19T16:48:17.3715987Z,4.86,16.00
2026-09-19T16:48:19.6747345Z,4.98,16.00
2026-09-19T16:48:22.0702626Z,5.47,16.00
2026-09-19T16:48:24.3806367Z,6.06,16.00
2026-09-19T16:48:26.6876124Z,4.79,16.00
2026-09-19T16:48:29.0002376Z,3.57,16.00
2026-09-19T16:48:31.3059148Z,3.73,16.00
2026-09-19T16:48:33.6241098Z,3.79,16.00
2026-09-19T16:48:35.9286279Z,3.90,16.00
2026-09-19T16:48:38.2430860Z,4.00,16.00
2026-09-19T16:48:40.5568547Z,3.95,16.00
2026-09-19T16:48:42.8616860Z,4.06,16.00
2026-09-19T16:48:45.1773760Z,4.15,16.00
2026-09-19T16:48:47.4870783Z,4.25,16.00
2026-09-19T16:48:49.7943849Z,4.26,16.00
2026-09-19T16:48:52.0979207Z,4.26,16.00
2026-09-19T16:48:54.3959317Z,4.23,16.00
2026-09-19T16:48:56.7107010Z,4.25,16.00
2026-09-19T16:48:59.0135016Z,4.29,16.00
2026-09-19T16:49:01.3217146Z,4.33,16.00
2026-09-19T16:49:03.6421762Z,4.32,16.00
2026-09-19T16:49:05.9508468Z,4.32,16.00
2026-09-19T16:49:08.2568192Z,4.27,16.00
2026-09-19T16:49:10.5763198Z,4.35,16.00
2026-09-19T16:49:12.8819445Z,4.39,16.00
2026-09-19T16:49:15.1932925Z,4.39,16.00
