utc,committedGiB,limitGiB
2026-09-19T17:03:04.9547945Z,3.80,16.00
2026-09-19T17:03:07.2654520Z,4.49,16.00
2026-09-19T17:03:09.5545718Z,5.10,16.00
2026-09-19T17:03:11.8544914Z,5.46,16.00
2026-09-19T17:03:14.1459989Z,5.55,16.00
2026-09-19T17:03:16.4475744Z,4.93,16.00
2026-09-19T17:03:18.7548013Z,4.76,16.00
2026-09-19T17:03:21.0528326Z,5.20,16.00
2026-09-19T17:03:23.3491954Z,4.85,16.00
2026-09-19T17:03:25.6633845Z,4.90,16.00
2026-09-19T17:03:27.9728692Z,5.18,16.00
2026-09-19T17:03:30.3037434Z,5.97,16.00
2026-09-19T17:03:32.6059065Z,6.14,16.00
2026-09-19T17:03:34.9117451Z,3.49,16.00
2026-09-19T17:03:37.2088451Z,3.68,16.00
2026-09-19T17:03:39.5145103Z,3.80,16.00
2026-09-19T17:03:41.8241966Z,3.88,16.00
2026-09-19T17:03:44.1435450Z,3.93,16.00
2026-09-19T17:03:46.4579909Z,3.84,16.00
2026-09-19T17:03:48.7654633Z,3.91,16.00
2026-09-19T17:03:51.0688126Z,4.07,16.00
2026-09-19T17:03:53.3789399Z,4.17,16.00
2026-09-19T17:03:55.6980852Z,4.20,16.00
2026-09-19T17:03:58.0007074Z,4.24,16.00
2026-09-19T17:04:00.3024347Z,4.21,16.00
2026-09-19T17:04:02.6131982Z,4.25,16.00
2026-09-19T17:04:04.9248662Z,4.23,16.00
2026-09-19T17:04:07.2408585Z,4.29,16.00
2026-09-19T17:04:09.5516319Z,4.30,16.00
2026-09-19T17:04:11.8597468Z,4.33,16.00
2026-09-19T17:04:14.1773473Z,4.33,16.00
2026-09-19T17:04:16.4965239Z,4.36,16.00
2026-09-19T17:04:18.8138588Z,4.36,16.00
2026-09-19T17:04:21.1039604Z,3.72,16.00
2026-09-19T17:04:23.4122615Z,3.73,16.00
2026-09-19T17:04:25.7268453Z,3.81,16.00
2026-09-19T17:04:28.0286230Z,3.95,16.00
2026-09-19T17:04:30.3303218Z,3.89,16.00
2026-09-19T17:04:32.6291404Z,4.03,16.00
2026-09-19T17:04:34.9378395Z,4.19,16.00
2026-09-19T17:04:37.2424558Z,4.25,16.00
2026-09-19T17:04:39.5396475Z,4.27,16.00
2026-09-19T17:04:41.8475555Z,4.25,16.00
2026-09-19T17:04:44.1475736Z,4.29,16.00
2026-09-19T17:04:46.4621152Z,4.31,16.00
2026-09-19T17:04:48.7754853Z,4.30,16.00
2026-09-19T17:04:51.0825436Z,4.31,16.00
2026-09-19T17:04:53.3959089Z,4.24,16.00
2026-09-19T17:04:55.7080220Z,4.33,16.00
2026-09-19T17:04:58.0217639Z,4.35,16.00
2026-09-19T17:05:00.3303803Z,4.33,16.00
2026-09-19T17:05:02.6341321Z,3.62,16.00
2026-09-19T17:05:04.9344943Z,3.77,16.00
2026-09-19T17:05:07.2466227Z,3.93,16.00
2026-09-19T17:05:09.5615995Z,3.88,16.00
2026-09-19T17:05:11.8779346Z,4.00,16.00
2026-09-19T17:05:14.1793739Z,4.12,16.00
2026-09-19T17:05:16.4879574Z,4.25,16.00
2026-09-19T17:05:18.7910502Z,4.23,16.00
2026-09-19T17:05:21.0948800Z,4.23,16.00
2026-09-19T17:05:23.4036894Z,4.25,16.00
2026-09-19T17:05:25.7155698Z,4.29,16.00
2026-09-19T17:05:28.0297550Z,4.31,16.00
2026-09-19T17:05:30.3410938Z,4.30,16.00
2026-09-19T17:05:32.6534276Z,4.31,16.00
2026-09-19T17:05:34.9564368Z,4.32,16.00
2026-09-19T17:05:37.2680734Z,4.34,16.00
2026-09-19T17:05:39.5781764Z,4.34,16.00
2026-09-19T17:05:41.8932753Z,4.12,16.00
