utc,committedGiB,limitGiB
2026-09-19T17:12:29.0910373Z,10.77,16.00
2026-09-19T17:12:31.5848656Z,11.01,16.00
2026-09-19T17:12:34.0100989Z,11.35,16.00
2026-09-19T17:12:36.3861013Z,10.20,16.00
2026-09-19T17:12:38.6995039Z,8.54,16.00
2026-09-19T17:12:40.9868930Z,9.07,16.00
2026-09-19T17:12:43.3031215Z,9.42,16.00
2026-09-19T17:12:45.6047066Z,9.51,16.00
2026-09-19T17:12:47.9100976Z,10.40,16.00
2026-09-19T17:12:50.1994152Z,9.43,16.00
2026-09-19T17:12:52.5095034Z,9.53,16.00
2026-09-19T17:12:54.8146889Z,9.69,16.00
2026-09-19T17:12:57.1314392Z,9.38,16.00
2026-09-19T17:12:59.4317208Z,9.73,16.00
2026-09-19T17:13:01.7469427Z,9.70,16.00
2026-09-19T17:13:04.0521752Z,9.33,16.00
2026-09-19T17:13:06.3565440Z,9.49,16.00
2026-09-19T17:13:08.6366202Z,9.83,16.00
2026-09-19T17:13:10.9420724Z,10.11,16.00
2026-09-19T17:13:13.2594857Z,10.13,16.00
2026-09-19T17:13:15.5706579Z,8.08,16.00
2026-09-19T17:13:17.8798267Z,8.06,16.00
2026-09-19T17:13:20.1909799Z,8.19,16.00
2026-09-19T17:13:22.4992901Z,8.24,16.00
2026-09-19T17:13:24.8084187Z,8.36,16.00
2026-09-19T17:13:27.1134054Z,8.44,16.00
2026-09-19T17:13:29.4131408Z,7.98,16.00
2026-09-19T17:13:31.7237850Z,7.93,16.00
2026-09-19T17:13:34.0258344Z,7.39,16.00
2026-09-19T17:13:36.3371379Z,7.52,16.00
2026-09-19T17:13:38.6511056Z,7.60,16.00
2026-09-19T17:13:40.9659196Z,8.07,16.00
2026-09-19T17:13:43.2827718Z,8.38,16.00
2026-09-19T17:13:45.5969423Z,8.30,16.00
2026-09-19T17:13:47.9135862Z,8.67,16.00
2026-09-19T17:13:50.2237992Z,8.05,16.00
2026-09-19T17:13:52.5348802Z,7.81,16.00
2026-09-19T17:13:54.8397782Z,7.65,16.00
2026-09-19T17:13:57.1366283Z,7.89,16.00
2026-09-19T17:13:59.4339476Z,8.31,16.00
2026-09-19T17:14:01.7252919Z,8.45,16.00
2026-09-19T17:14:04.0303151Z,7.97,16.00
2026-09-19T17:14:06.3331816Z,8.12,16.00
2026-09-19T17:14:08.6424499Z,8.42,16.00
2026-09-19T17:14:10.9440567Z,8.59,16.00
2026-09-19T17:14:13.2590241Z,8.54,16.00
2026-09-19T17:14:15.5496328Z,8.68,16.00
2026-09-19T17:14:17.8426665Z,8.82,16.00
2026-09-19T17:14:20.1521171Z,7.59,16.00
2026-09-19T17:14:22.4546353Z,7.61,16.00
2026-09-19T17:14:24.7591679Z,7.71,16.00
2026-09-19T17:14:27.0707558Z,7.69,16.00
2026-09-19T17:14:29.3673919Z,8.11,16.00
2026-09-19T17:14:31.6624050Z,7.53,16.00
2026-09-19T17:14:33.9715003Z,7.89,16.00
2026-09-19T17:14:36.2724548Z,8.09,16.00
2026-09-19T17:14:38.5790878Z,8.19,16.00
2026-09-19T17:14:40.8835775Z,7.86,16.00
2026-09-19T17:14:43.1920498Z,8.10,16.00
2026-09-19T17:14:45.5092351Z,8.17,16.00
2026-09-19T17:14:47.8034714Z,8.17,16.00
2026-09-19T17:14:50.0963165Z,7.82,16.00
2026-09-19T17:14:52.4038279Z,7.43,16.00
2026-09-19T17:14:54.7377131Z,7.55,16.00
2026-09-19T17:14:57.0545191Z,7.96,16.00
2026-09-19T17:14:59.3606768Z,7.60,16.00
2026-09-19T17:15:01.6739098Z,7.52,16.00
2026-09-19T17:15:03.9840944Z,7.78,16.00
2026-09-19T17:15:06.2841131Z,7.90,16.00
2026-09-19T17:15:08.5982369Z,7.90,16.00
2026-09-19T17:15:10.8962324Z,6.71,16.00
2026-09-19T17:15:13.2011266Z,6.40,16.00
2026-09-19T17:15:15.5105484Z,6.66,16.00
2026-09-19T17:15:17.8055805Z,6.39,16.00
2026-09-19T17:15:20.0989470Z,6.29,16.00
2026-09-19T17:15:22.4079110Z,6.59,16.00
2026-09-19T17:15:24.7190310Z,6.76,16.00
2026-09-19T17:15:27.0270492Z,6.85,16.00
2026-09-19T17:15:29.3264763Z,7.12,16.00
2026-09-19T17:15:31.6422398Z,7.06,16.00
2026-09-19T17:15:33.9588409Z,7.20,16.00
2026-09-19T17:15:36.2699480Z,7.38,16.00
2026-09-19T17:15:38.5740406Z,7.34,16.00
2026-09-19T17:15:40.8783116Z,6.88,16.00
2026-09-19T17:15:43.1789728Z,6.98,16.00
2026-09-19T17:15:45.4743987Z,7.23,16.00
2026-09-19T17:15:47.7717561Z,6.80,16.00
2026-09-19T17:15:50.0803021Z,7.11,16.00
2026-09-19T17:15:52.3830996Z,7.42,16.00
