utc,committedGiB,limitGiB
2026-09-19T16:16:55.2675147Z,10.26,16.00
2026-09-19T16:16:57.7906272Z,10.81,16.00
2026-09-19T16:17:00.1050026Z,10.69,16.00
2026-09-19T16:17:03.6548619Z,10.94,16.00
2026-09-19T16:17:05.9725898Z,11.21,16.00
2026-09-19T16:17:09.4412103Z,10.87,16.00
2026-09-19T16:17:11.7530557Z,11.37,16.00
2026-09-19T16:17:14.0533954Z,11.31,16.00
2026-09-19T16:17:16.3718209Z,11.26,16.00
2026-09-19T16:17:18.6690908Z,11.48,16.00
2026-09-19T16:17:21.0570194Z,11.73,16.00
2026-09-19T16:17:24.0773218Z,11.73,16.00
2026-09-19T16:17:26.5158059Z,11.74,16.00
2026-09-19T16:17:28.8178565Z,11.46,16.00
2026-09-19T16:17:31.5240743Z,11.57,16.00
2026-09-19T16:17:33.8597433Z,11.83,16.00
2026-09-19T16:17:36.3704942Z,11.79,16.00
2026-09-19T16:17:39.0197873Z,11.71,16.00
2026-09-19T16:17:41.3979668Z,11.52,16.00
2026-09-19T16:17:43.7281312Z,11.45,16.00
2026-09-19T16:17:46.2156932Z,11.53,16.00
2026-09-19T16:17:48.5314115Z,11.64,16.00
2026-09-19T16:17:50.8858256Z,11.69,16.00
2026-09-19T16:17:53.1724128Z,11.10,16.00
2026-09-19T16:17:55.4612817Z,9.62,16.00
2026-09-19T16:17:57.7392488Z,10.25,16.00
2026-09-19T16:18:00.0405921Z,10.63,16.00
2026-09-19T16:18:02.3331597Z,10.50,16.00
2026-09-19T16:18:04.6756695Z,10.61,16.00
2026-09-19T16:18:06.9770692Z,10.19,16.00
2026-09-19T16:18:09.2827577Z,10.73,16.00
2026-09-19T16:18:11.5732592Z,10.84,16.00
2026-09-19T16:18:13.8460429Z,11.07,16.00
2026-09-19T16:18:16.1286260Z,10.66,16.00
2026-09-19T16:18:18.4231988Z,10.76,16.00
2026-09-19T16:18:20.7362270Z,10.93,16.00
2026-09-19T16:18:23.0404749Z,11.17,16.00
2026-09-19T16:18:25.4477266Z,11.40,16.00
2026-09-19T16:18:27.7457832Z,11.49,16.00
2026-09-19T16:18:30.0488621Z,11.39,16.00
2026-09-19T16:18:32.3511259Z,10.69,16.00
2026-09-19T16:18:34.6618233Z,9.97,16.00
2026-09-19T16:18:36.9526829Z,9.23,16.00
2026-09-19T16:18:39.2645889Z,8.60,16.00
2026-09-19T16:18:41.5668536Z,8.63,16.00
2026-09-19T16:18:43.8510012Z,8.76,16.00
2026-09-19T16:18:46.1425814Z,9.21,16.00
2026-09-19T16:18:48.4197309Z,9.22,16.00
2026-09-19T16:18:50.7050933Z,9.57,16.00
2026-09-19T16:18:52.9950657Z,9.95,16.00
2026-09-19T16:18:55.2756614Z,10.34,16.00
2026-09-19T16:18:57.5834987Z,9.94,16.00
2026-09-19T16:18:59.8796379Z,10.08,16.00
2026-09-19T16:19:02.1685688Z,10.08,16.00
2026-09-19T16:19:04.4680117Z,10.25,16.00
2026-09-19T16:19:06.7775570Z,9.69,16.00
