utc,committedGiB,limitGiB
2026-09-19T16:38:20.4246774Z,5.01,16.00
2026-09-19T16:38:22.7409662Z,5.37,16.00
2026-09-19T16:38:25.0478140Z,5.67,16.00
2026-09-19T16:38:27.3581346Z,4.92,16.00
2026-09-19T16:38:29.6590296Z,4.77,16.00
2026-09-19T16:38:31.9637913Z,5.19,16.00
2026-09-19T16:38:34.2754000Z,5.32,16.00
2026-09-19T16:38:36.5705049Z,4.87,16.00
2026-09-19T16:38:38.8495388Z,5.03,16.00
2026-09-19T16:38:41.2116220Z,5.65,16.00
2026-09-19T16:38:43.5300164Z,6.02,16.00
2026-09-19T16:38:45.8333193Z,3.98,16.00
2026-09-19T16:38:48.1273204Z,3.53,16.00
2026-09-19T16:38:50.4175801Z,3.70,16.00
2026-09-19T16:38:52.7160618Z,3.84,16.00
2026-09-19T16:38:55.0277638Z,3.91,16.00
2026-09-19T16:38:57.3395049Z,3.86,16.00
2026-09-19T16:38:59.6547451Z,3.94,16.00
2026-09-19T16:39:01.9518353Z,4.02,16.00
2026-09-19T16:39:04.2593237Z,4.13,16.00
2026-09-19T16:39:06.5611432Z,4.14,16.00
2026-09-19T16:39:08.8693869Z,4.15,16.00
2026-09-19T16:39:11.1744655Z,4.11,16.00
2026-09-19T16:39:13.4860824Z,4.17,16.00
2026-09-19T16:39:15.7969740Z,4.13,16.00
2026-09-19T16:39:18.1134441Z,4.21,16.00
2026-09-19T16:39:20.4243777Z,4.21,16.00
2026-09-19T16:39:22.7344207Z,4.20,16.00
2026-09-19T16:39:25.0342277Z,4.20,16.00
