utc,committedGiB,limitGiB
2026-09-19T16:52:51.2082626Z,3.60,16.00
2026-09-19T16:52:53.5306417Z,4.39,16.00
2026-09-19T16:52:55.8291371Z,5.06,16.00
2026-09-19T16:52:58.1198508Z,5.35,16.00
2026-09-19T16:53:00.4114553Z,5.58,16.00
2026-09-19T16:53:02.7239792Z,4.94,16.00
2026-09-19T16:53:05.0268715Z,5.37,16.00
2026-09-19T16:53:07.3317914Z,5.15,16.00
2026-09-19T16:53:09.6106927Z,5.24,16.00
2026-09-19T16:53:11.9242822Z,4.84,16.00
2026-09-19T16:53:14.2445743Z,4.98,16.00
2026-09-19T16:53:16.5535811Z,5.42,16.00
2026-09-19T16:53:18.8580859Z,5.99,16.00
2026-09-19T16:53:21.1582724Z,6.13,16.00
2026-09-19T16:53:23.4696324Z,3.59,16.00
2026-09-19T16:53:25.7740477Z,3.58,16.00
2026-09-19T16:53:28.0690563Z,3.75,16.00
2026-09-19T16:53:30.3632297Z,3.89,16.00
2026-09-19T16:53:32.6544825Z,3.94,16.00
2026-09-19T16:53:34.9589763Z,4.00,16.00
2026-09-19T16:53:37.2537658Z,3.93,16.00
2026-09-19T16:53:39.5508570Z,4.09,16.00
2026-09-19T16:53:41.8616227Z,4.20,16.00
2026-09-19T16:53:44.1710492Z,4.28,16.00
2026-09-19T16:53:46.4775503Z,4.25,16.00
2026-09-19T16:53:48.7826972Z,4.24,16.00
2026-09-19T16:53:51.0744082Z,4.28,16.00
2026-09-19T16:53:53.3698900Z,4.26,16.00
2026-09-19T16:53:55.6783194Z,4.33,16.00
2026-09-19T16:53:57.9871852Z,4.33,16.00
2026-09-19T16:54:00.2970408Z,4.32,16.00
2026-09-19T16:54:02.6107763Z,4.32,16.00
2026-09-19T16:54:04.9106507Z,4.31,16.00
2026-09-19T16:54:07.2250885Z,4.31,16.00
2026-09-19T16:54:09.5430064Z,4.32,16.00
2026-09-19T16:54:11.8590493Z,4.32,16.00
2026-09-19T16:54:14.1691237Z,4.34,16.00
2026-09-19T16:54:16.4855332Z,4.33,16.00
2026-09-19T16:54:18.7935412Z,4.33,16.00
2026-09-19T16:54:26.5923995Z,4.35,16.00
2026-09-19T16:54:28.9392384Z,4.37,16.00
2026-09-19T16:54:31.2548645Z,4.37,16.00
2026-09-19T16:54:33.5697610Z,4.36,16.00
2026-09-19T16:54:35.8792156Z,4.36,16.00
2026-09-19T16:54:38.1812274Z,4.36,16.00
2026-09-19T16:54:40.4974635Z,4.37,16.00
2026-09-19T16:54:42.8099811Z,4.36,16.00
2026-09-19T16:54:45.1257772Z,4.37,16.00
2026-09-19T16:54:47.4260373Z,4.36,16.00
2026-09-19T16:54:49.7424278Z,4.37,16.00
2026-09-19T16:54:52.0570488Z,4.37,16.00
2026-09-19T16:54:54.3709459Z,4.37,16.00
2026-09-19T16:54:56.6871398Z,4.36,16.00
2026-09-19T16:54:58.9827883Z,3.77,16.00
2026-09-19T16:55:01.2906773Z,3.74,16.00
2026-09-19T16:55:03.5907459Z,3.84,16.00
2026-09-19T16:55:05.8972800Z,3.98,16.00
2026-09-19T16:55:08.1971414Z,3.93,16.00
2026-09-19T16:55:10.4943158Z,4.08,16.00
2026-09-19T16:55:12.7746715Z,4.23,16.00
2026-09-19T16:55:15.0809248Z,4.27,16.00
2026-09-19T16:55:17.3884808Z,4.29,16.00
2026-09-19T16:55:19.6900976Z,4.26,16.00
2026-09-19T16:55:22.0024668Z,4.29,16.00
2026-09-19T16:55:24.3147321Z,4.24,16.00
2026-09-19T16:55:26.6312102Z,4.33,16.00
2026-09-19T16:55:28.9379169Z,4.33,16.00
2026-09-19T16:55:31.2475393Z,4.33,16.00
2026-09-19T16:55:33.5543685Z,4.28,16.00
2026-09-19T16:55:35.8544014Z,4.35,16.00
2026-09-19T16:55:38.1651081Z,4.36,16.00
