utc,committedGiB,limitGiB
2026-09-19T16:58:24.1865097Z,3.86,16.00
2026-09-19T16:58:26.4966034Z,4.54,16.00
2026-09-19T16:58:28.7942726Z,5.14,16.00
2026-09-19T16:58:31.0759123Z,5.50,16.00
2026-09-19T16:58:33.3654641Z,5.46,16.00
2026-09-19T16:58:35.6706893Z,5.02,16.00
2026-09-19T16:58:37.9757998Z,4.77,16.00
2026-09-19T16:58:40.2765062Z,5.18,16.00
2026-09-19T16:58:42.5614610Z,5.32,16.00
2026-09-19T16:58:44.8497231Z,4.88,16.00
2026-09-19T16:58:47.1389237Z,5.12,16.00
2026-09-19T16:58:49.4439469Z,5.77,16.00
2026-09-19T16:58:51.7551454Z,6.12,16.00
2026-09-19T16:58:54.0609454Z,3.52,16.00
2026-09-19T16:58:56.3642346Z,3.68,16.00
2026-09-19T16:58:58.6789842Z,3.76,16.00
2026-09-19T16:59:00.9835215Z,3.89,16.00
2026-09-19T16:59:03.2766449Z,3.94,16.00
2026-09-19T16:59:05.5819677Z,3.88,16.00
2026-09-19T16:59:07.8893244Z,3.93,16.00
2026-09-19T16:59:10.1897880Z,4.08,16.00
2026-09-19T16:59:12.5022764Z,4.16,16.00
2026-09-19T16:59:14.8101509Z,4.23,16.00
2026-09-19T16:59:17.1133804Z,4.25,16.00
2026-09-19T16:59:19.4174468Z,4.21,16.00
2026-09-19T16:59:21.7158250Z,4.24,16.00
2026-09-19T16:59:24.0166341Z,4.27,16.00
2026-09-19T16:59:26.3267697Z,4.24,16.00
2026-09-19T16:59:28.6414116Z,4.31,16.00
2026-09-19T16:59:30.9522754Z,4.31,16.00
2026-09-19T16:59:33.2684065Z,4.32,16.00
2026-09-19T16:59:35.5721143Z,4.34,16.00
2026-09-19T16:59:37.8797048Z,4.32,16.00
2026-09-19T16:59:40.1878994Z,4.30,16.00
2026-09-19T16:59:42.5018712Z,4.30,16.00
2026-09-19T16:59:44.8127110Z,4.31,16.00
2026-09-19T16:59:47.1286301Z,4.30,16.00
2026-09-19T16:59:49.4332243Z,4.30,16.00
2026-09-19T16:59:51.7471999Z,4.18,16.00
