utc,committedGiB,limitGiB
2026-09-20T05:16:49.5891857Z,5.25,16.00
2026-09-20T05:16:51.9002206Z,6.06,16.00
2026-09-20T05:16:54.2003138Z,5.19,16.00
2026-09-20T05:16:56.4826707Z,5.69,16.00
2026-09-20T05:16:58.7783139Z,5.35,16.00
2026-09-20T05:17:01.0685098Z,5.55,16.00
2026-09-20T05:17:03.3736873Z,5.04,16.00
2026-09-20T05:17:05.6616742Z,5.25,16.00
2026-09-20T05:17:07.9468573Z,5.61,16.00
2026-09-20T05:17:10.2693925Z,6.40,16.00
2026-09-20T05:17:12.5839169Z,6.62,16.00
2026-09-20T05:17:14.9032256Z,3.78,16.00
2026-09-20T05:17:17.2055938Z,3.85,16.00
2026-09-20T05:17:19.5096413Z,4.04,16.00
2026-09-20T05:17:21.8223903Z,4.15,16.00
2026-09-20T05:17:24.1385100Z,4.22,16.00
2026-09-20T05:17:26.4400754Z,4.15,16.00
2026-09-20T05:17:28.7555955Z,4.28,16.00
2026-09-20T05:17:31.0579136Z,4.39,16.00
2026-09-20T05:17:33.3638006Z,4.51,16.00
2026-09-20T05:17:35.6671410Z,4.52,16.00
2026-09-20T05:17:37.9705969Z,4.54,16.00
2026-09-20T05:17:40.2795511Z,4.52,16.00
2026-09-20T05:17:42.5833082Z,4.57,16.00
2026-09-20T05:17:44.8828994Z,4.59,16.00
2026-09-20T05:17:47.2018418Z,4.58,16.00
2026-09-20T05:17:49.5098554Z,4.59,16.00
2026-09-20T05:17:51.8219067Z,4.58,16.00
2026-09-20T05:17:54.1313403Z,4.60,16.00
2026-09-20T05:17:56.4257146Z,4.61,16.00
2026-09-20T05:17:58.7265474Z,4.61,16.00
2026-09-20T05:18:01.0389247Z,3.82,16.00
2026-09-20T05:18:03.3414942Z,4.01,16.00
2026-09-20T05:18:05.6366977Z,4.13,16.00
2026-09-20T05:18:07.9684931Z,4.26,16.00
2026-09-20T05:18:10.2826163Z,4.19,16.00
2026-09-20T05:18:12.5857706Z,4.29,16.00
2026-09-20T05:18:14.8739024Z,4.46,16.00
2026-09-20T05:18:17.1837600Z,4.50,16.00
2026-09-20T05:18:19.4890423Z,4.53,16.00
2026-09-20T05:18:21.7933764Z,4.50,16.00
2026-09-20T05:18:24.1035319Z,4.54,16.00
2026-09-20T05:18:26.4124974Z,4.56,16.00
2026-09-20T05:18:28.7279974Z,4.59,16.00
2026-09-20T05:18:31.0432896Z,4.59,16.00
2026-09-20T05:18:33.3582077Z,4.59,16.00
2026-09-20T05:18:35.6558451Z,4.60,16.00
2026-09-20T05:18:37.9583293Z,4.63,16.00
2026-09-20T05:18:40.2668379Z,4.62,16.00
2026-09-20T05:18:42.5729492Z,3.82,16.00
2026-09-20T05:18:44.8877670Z,4.01,16.00
2026-09-20T05:18:47.1751813Z,4.14,16.00
2026-09-20T05:18:49.4872710Z,4.25,16.00
2026-09-20T05:18:51.8033175Z,4.18,16.00
2026-09-20T05:18:54.1210185Z,4.35,16.00
2026-09-20T05:18:56.4292861Z,4.45,16.00
2026-09-20T05:18:58.7131350Z,4.51,16.00
2026-09-20T05:19:01.0258355Z,4.53,16.00
2026-09-20T05:19:03.3193893Z,4.49,16.00
2026-09-20T05:19:05.6155260Z,4.54,16.00
2026-09-20T05:19:07.9234169Z,4.55,16.00
2026-09-20T05:19:10.2363787Z,4.57,16.00
2026-09-20T05:19:12.5497583Z,4.59,16.00
2026-09-20T05:19:14.8600780Z,4.58,16.00
2026-09-20T05:19:17.1732017Z,4.53,16.00
2026-09-20T05:19:19.4871619Z,4.60,16.00
2026-09-20T05:19:21.7981923Z,4.61,16.00
2026-09-20T05:19:24.1069461Z,4.47,16.00
