utc,committedGiB,limitGiB
2026-09-20T05:09:49.1501313Z,4.13,16.00
2026-09-20T05:09:51.4764509Z,4.88,16.00
2026-09-20T05:09:53.7772483Z,5.43,16.00
2026-09-20T05:09:56.0763443Z,5.79,16.00
2026-09-20T05:09:58.3715141Z,5.37,16.00
2026-09-20T05:10:00.6836218Z,5.43,16.00
2026-09-20T05:10:02.9959120Z,5.08,16.00
2026-09-20T05:10:05.3083088Z,5.49,16.00
2026-09-20T05:10:07.6060428Z,5.63,16.00
2026-09-20T05:10:09.9041871Z,5.18,16.00
2026-09-20T05:10:12.1899982Z,5.34,16.00
2026-09-20T05:10:14.6239353Z,5.88,16.00
2026-09-20T05:10:16.9553568Z,6.53,16.00
2026-09-20T05:10:19.2732675Z,6.66,16.00
2026-09-20T05:10:21.5796476Z,3.77,16.00
2026-09-20T05:10:23.8876726Z,3.97,16.00
2026-09-20T05:10:26.1884875Z,4.07,16.00
2026-09-20T05:10:28.5030596Z,4.17,16.00
2026-09-20T05:10:30.8015654Z,4.28,16.00
2026-09-20T05:10:33.1000902Z,4.20,16.00
2026-09-20T05:10:35.4086738Z,4.35,16.00
2026-09-20T05:10:37.7154093Z,4.44,16.00
2026-09-20T05:10:40.0201692Z,4.52,16.00
2026-09-20T05:10:42.3312876Z,4.48,16.00
2026-09-20T05:10:44.6303801Z,4.47,16.00
2026-09-20T05:10:46.9305780Z,4.51,16.00
2026-09-20T05:10:49.2501244Z,4.48,16.00
2026-09-20T05:10:51.5573906Z,4.58,16.00
2026-09-20T05:10:53.8605711Z,4.59,16.00
2026-09-20T05:10:56.1695262Z,4.59,16.00
2026-09-20T05:10:58.4836612Z,4.54,16.00
2026-09-20T05:11:00.7968823Z,4.62,16.00
2026-09-20T05:11:03.1124057Z,4.59,16.00
2026-09-20T05:11:05.4201124Z,4.57,16.00
2026-09-20T05:11:07.7368499Z,4.58,16.00
2026-09-20T05:11:10.0498115Z,4.57,16.00
2026-09-20T05:11:12.3664170Z,4.58,16.00
2026-09-20T05:11:14.6784404Z,4.57,16.00
