utc,committedGiB,limitGiB
2026-09-22T05:07:05.1757399Z,9.77,16.00
2026-09-22T05:07:07.5412050Z,9.29,16.00
2026-09-22T05:07:09.8530976Z,9.48,16.00
2026-09-22T05:07:12.1505104Z,9.80,16.00
2026-09-22T05:07:14.4248696Z,9.78,16.00
2026-09-22T05:07:16.8640606Z,10.16,16.00
2026-09-22T05:07:19.5319582Z,10.62,16.00
2026-09-22T05:07:21.9149398Z,9.63,16.00
2026-09-22T05:07:24.2430129Z,10.06,16.00
2026-09-22T05:07:26.5549056Z,9.84,16.00
2026-09-22T05:07:28.8528771Z,9.63,16.00
2026-09-22T05:07:31.1363979Z,10.12,16.00
2026-09-22T05:07:33.4361152Z,10.44,16.00
2026-09-22T05:07:35.7508381Z,9.65,16.00
2026-09-22T05:07:38.1450691Z,9.94,16.00
2026-09-22T05:07:40.4539397Z,9.84,16.00
2026-09-22T05:07:42.7441756Z,10.03,16.00
2026-09-22T05:07:45.0565062Z,9.67,16.00
2026-09-22T05:07:47.3605979Z,9.11,16.00
2026-09-22T05:07:49.6659910Z,9.46,16.00
2026-09-22T05:07:51.9557593Z,9.63,16.00
2026-09-22T05:07:54.2548669Z,9.65,16.00
2026-09-22T05:07:56.5629912Z,10.17,16.00
2026-09-22T05:07:58.8595566Z,10.41,16.00
2026-09-22T05:08:01.1652899Z,10.56,16.00
2026-09-22T05:08:03.4831015Z,10.55,16.00
2026-09-22T05:08:05.7918473Z,10.61,16.00
2026-09-22T05:08:08.1126263Z,9.69,16.00
2026-09-22T05:08:10.4172509Z,9.67,16.00
2026-09-22T05:08:12.7219308Z,9.65,16.00
2026-09-22T05:08:15.0293917Z,8.47,16.00
2026-09-22T05:08:17.3401475Z,8.47,16.00
2026-09-22T05:08:19.6539484Z,8.50,16.00
2026-09-22T05:08:21.9632988Z,8.52,16.00
2026-09-22T05:08:24.2743533Z,8.52,16.00
2026-09-22T05:08:26.5776489Z,8.53,16.00
2026-09-22T05:08:28.8853067Z,8.67,16.00
2026-09-22T05:08:31.1794362Z,8.27,16.00
2026-09-22T05:08:33.4916591Z,8.69,16.00
2026-09-22T05:08:35.8033231Z,8.68,16.00
2026-09-22T05:08:38.1055669Z,9.12,16.00
2026-09-22T05:08:40.4034954Z,8.72,16.00
2026-09-22T05:08:42.6826770Z,9.08,16.00
2026-09-22T05:08:44.9860368Z,9.01,16.00
2026-09-22T05:08:47.2930621Z,9.22,16.00
2026-09-22T05:08:49.5868926Z,8.06,16.00
2026-09-22T05:08:51.8903542Z,8.41,16.00
2026-09-22T05:08:54.1980410Z,8.57,16.00
2026-09-22T05:08:56.4943242Z,7.95,16.00
2026-09-22T05:08:58.7910536Z,8.45,16.00
2026-09-22T05:09:01.0995207Z,8.68,16.00
2026-09-22T05:09:03.3897188Z,8.74,16.00
2026-09-22T05:09:05.6669908Z,8.76,16.00
2026-09-22T05:09:07.9775753Z,8.86,16.00
2026-09-22T05:09:10.2715436Z,8.96,16.00
2026-09-22T05:09:12.5830874Z,8.16,16.00
2026-09-22T05:09:14.8915803Z,8.41,16.00
2026-09-22T05:09:17.1994066Z,8.65,16.00
2026-09-22T05:09:19.5114989Z,8.61,16.00
2026-09-22T05:09:21.8243250Z,8.78,16.00
2026-09-22T05:09:24.1355929Z,8.90,16.00
2026-09-22T05:09:26.4504588Z,8.94,16.00
2026-09-22T05:09:28.7647415Z,8.92,16.00
2026-09-22T05:09:31.0509322Z,9.00,16.00
2026-09-22T05:09:33.3531751Z,9.02,16.00
2026-09-22T05:09:35.6589891Z,9.06,16.00
2026-09-22T05:09:37.9519462Z,8.54,16.00
2026-09-22T05:09:40.2559397Z,8.79,16.00
2026-09-22T05:09:42.5621940Z,8.98,16.00
2026-09-22T05:09:44.8761407Z,8.94,16.00
2026-09-22T05:09:47.1936816Z,9.09,16.00
2026-09-22T05:09:49.4994869Z,9.20,16.00
2026-09-22T05:09:51.8021762Z,9.28,16.00
2026-09-22T05:09:54.1064142Z,9.26,16.00
2026-09-22T05:09:56.4216355Z,8.53,16.00
2026-09-22T05:09:58.7388244Z,8.80,16.00
2026-09-22T05:10:01.0431552Z,8.92,16.00
2026-09-22T05:10:03.3504079Z,8.87,16.00
2026-09-22T05:10:05.6644978Z,9.00,16.00
2026-09-22T05:10:07.9941911Z,9.14,16.00
2026-09-22T05:10:10.3155247Z,9.13,16.00
2026-09-22T05:10:12.6303468Z,9.12,16.00
2026-09-22T05:10:14.9363577Z,9.17,16.00
2026-09-22T05:10:17.2486114Z,9.20,16.00
2026-09-22T05:10:19.5526342Z,9.22,16.00
2026-09-22T05:10:21.8713560Z,9.25,16.00
2026-09-22T05:10:24.1828231Z,9.27,16.00
2026-09-22T05:10:26.4933713Z,8.74,16.00
2026-09-22T05:10:28.8049010Z,9.02,16.00
2026-09-22T05:10:31.1114896Z,8.51,16.00
2026-09-22T05:10:33.4023486Z,8.68,16.00
2026-09-22T05:10:35.7139166Z,8.86,16.00
2026-09-22T05:10:38.0038628Z,8.85,16.00
2026-09-22T05:10:40.3179757Z,9.05,16.00
2026-09-22T05:10:42.6329840Z,9.06,16.00
2026-09-22T05:10:44.9425408Z,9.10,16.00
2026-09-22T05:10:47.2545795Z,9.08,16.00
2026-09-22T05:10:49.5600787Z,9.12,16.00
2026-09-22T05:10:51.8758025Z,9.10,16.00
2026-09-22T05:10:54.1927281Z,9.13,16.00
2026-09-22T05:10:56.5081064Z,9.17,16.00
2026-09-22T05:10:58.8194118Z,9.20,16.00
2026-09-22T05:11:01.1224311Z,9.22,16.00
2026-09-22T05:11:03.4224129Z,9.25,16.00
2026-09-22T05:11:05.7198045Z,9.29,16.00
2026-09-22T05:11:08.0263196Z,8.83,16.00
2026-09-22T05:11:10.3406252Z,8.99,16.00
2026-09-22T05:11:12.6432465Z,8.94,16.00
2026-09-22T05:11:14.9477090Z,8.44,16.00
2026-09-22T05:11:17.2497781Z,8.85,16.00
2026-09-22T05:11:19.5519055Z,9.00,16.00
2026-09-22T05:11:21.8507908Z,8.90,16.00
2026-09-22T05:11:24.1512376Z,9.06,16.00
2026-09-22T05:11:26.4513748Z,9.28,16.00
2026-09-22T05:11:28.7572389Z,9.34,16.00
2026-09-22T05:11:31.0734592Z,9.38,16.00
2026-09-22T05:11:33.3853727Z,9.36,16.00
2026-09-22T05:11:35.6886051Z,9.40,16.00
2026-09-22T05:11:37.9942319Z,9.47,16.00
2026-09-22T05:11:40.2868023Z,9.51,16.00
2026-09-22T05:11:42.6017461Z,9.55,16.00
2026-09-22T05:11:44.9175830Z,9.59,16.00
2026-09-22T05:11:47.2250048Z,9.02,16.00
2026-09-22T05:11:49.5263044Z,9.34,16.00
2026-09-22T05:11:51.8267471Z,9.47,16.00
2026-09-22T05:11:54.1309109Z,9.41,16.00
2026-09-22T05:11:56.4446752Z,9.57,16.00
2026-09-22T05:11:58.7517427Z,9.67,16.00
2026-09-22T05:12:01.0560830Z,9.67,16.00
2026-09-22T05:12:03.3605403Z,9.68,16.00
2026-09-22T05:12:05.6725308Z,9.76,16.00
2026-09-22T05:12:08.0344029Z,9.77,16.00
2026-09-22T05:12:10.5533319Z,9.79,16.00
2026-09-22T05:12:12.8600541Z,9.81,16.00
2026-09-22T05:12:15.2067121Z,9.30,16.00
2026-09-22T05:12:17.6286980Z,9.43,16.00
2026-09-22T05:12:19.9333883Z,8.68,16.00
2026-09-22T05:12:22.2462108Z,8.85,16.00
2026-09-22T05:12:24.5560643Z,9.11,16.00
2026-09-22T05:12:26.8637180Z,9.14,16.00
2026-09-22T05:12:29.1518401Z,9.24,16.00
