2026-09-22T13:34:47.6425686+08:00	Information	SingleInstanceGuard	抢到了整机单例名字。名字=Global\SQCD.Agv.Wpf.Onboard。
2026-09-22T13:34:47.6958423+08:00	Information	App	车载端启动：agvId=AGV-L2-001，environment=Development，version=0.2.0-safety-mock-travel+ecdb3a0be1d95ef51e7d40493808ba4659274f41。
2026-09-22T13:34:48.3312173+08:00	Information	ModbusTcpIoModuleClient	已连接IO模块 127.0.0.1:48412，UnitId=255。
2026-09-22T13:34:48.3476202+08:00	Information	OnboardController	IO模块在线。
2026-09-22T13:34:48.3492137+08:00	Information	OnboardController	启动IO安全快照验证通过。
2026-09-22T13:34:49.8011001+08:00	Information	WireToGateSessionService	上层会话已建立：generation=1，readiness=Ready。
2026-09-22T13:35:02.1733028+08:00	Information	App	服务端请求录入Sublot：station=N1-3_N1-7，revision=1，expectedSublots=L2-EAO-20260922T053433933Z。 
2026-09-22T13:35:02.8247784+08:00	Information	App	服务端请求录入Sublot：station=N1-3_N1-7，revision=1，expectedSublots=L2-EAO-20260922T053433933Z。 
2026-09-22T13:35:03.6901649+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T13:35:03.7250903+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T13:35:03.8687194+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T13:35:04.0956065+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:04.2011385+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T13:35:05.3511791+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:05.8154409+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:06.4055307+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:07.2363016+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:08.1420359+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:09.0659848+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:10.1207083+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:10.9995893+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:11.9253681+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->0，锁DI 0->1，光幕DI 1->1。
2026-09-22T13:35:12.4688130+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T13:35:12.4803585+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T13:35:12.7185990+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T13:35:12.7613368+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:13.0509983+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T13:35:13.6712229+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:14.7278985+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:15.0320592+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:16.2767488+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:17.0314833+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:18.3021350+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:19.0638664+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:20.0209473+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:21.0421069+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:22.3249650+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:23.2834228+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:24.3613098+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:25.4397000+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->0，锁DI 0->1，光幕DI 1->1。
2026-09-22T13:35:25.4972320+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:26.2769733+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T13:35:26.3700110+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T13:35:26.3980571+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:26.4967858+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T13:35:26.8294584+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T13:35:27.5980156+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:28.4326876+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:29.4173712+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:30.3090506+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:31.3065314+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:32.3235169+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:33.0429773+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:34.4244383+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:35.4049101+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:36.0370440+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:37.0285574+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:37.9986983+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:39.0611842+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:40.0368677+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:41.5184440+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:42.0507602+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:43.0400392+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:44.0533675+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:45.0506830+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:46.5034370+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:47.3841798+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:48.0548051+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:49.3119034+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:50.3642991+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:51.0586484+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:52.2792145+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:53.0583767+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:54.3067349+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:55.0129357+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:56.0425499+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:57.0358088+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
2026-09-22T13:35:58.0557553+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=f53b0cad-522b-b250-99a4-45c220b283c9。
