2026-09-22T13:26:09.3879169+08:00	Information	SingleInstanceGuard	抢到了整机单例名字。名字=Global\SQCD.Agv.Wpf.Onboard。
2026-09-22T13:26:09.4447316+08:00	Information	App	车载端启动：agvId=AGV-L2-001，environment=Development，version=0.2.0-safety-mock-travel+ecdb3a0be1d95ef51e7d40493808ba4659274f41。
2026-09-22T13:26:10.0643075+08:00	Information	ModbusTcpIoModuleClient	已连接IO模块 127.0.0.1:48412，UnitId=255。
2026-09-22T13:26:10.0876745+08:00	Information	OnboardController	IO模块在线。
2026-09-22T13:26:10.0889471+08:00	Information	OnboardController	启动IO安全快照验证通过。
2026-09-22T13:26:11.3802260+08:00	Information	WireToGateSessionService	上层会话已建立：generation=1，readiness=Ready。
2026-09-22T13:26:22.5303991+08:00	Information	App	服务端请求录入Sublot：station=N1-3_N1-7，revision=1，expectedSublots=L2-DC-20260922T052557101Z。 
2026-09-22T13:26:22.7089435+08:00	Information	App	服务端请求录入Sublot：station=N1-3_N1-7，revision=1，expectedSublots=L2-DC-20260922T052557101Z。 
2026-09-22T13:26:23.9223977+08:00	Information	App	服务端请求录入Sublot：station=N1-3_N1-7，revision=1，expectedSublots=L2-DC-20260922T052557101Z。 
2026-09-22T13:26:24.7505090+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T13:26:24.7937193+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T13:26:25.0637959+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T13:26:25.2479819+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:25.2854007+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T13:26:25.6572401+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:26.6196154+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->0，锁DI 0->1，光幕DI 1->1。
2026-09-22T13:26:27.7027800+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T13:26:27.7472890+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T13:26:28.0490860+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T13:26:28.2713285+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T13:26:28.7396706+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:29.7492403+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:30.7367187+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:31.9262723+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:32.6895582+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:33.6357616+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:34.6440664+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:35.6663561+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:36.6632113+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:37.9521100+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:38.6640614+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:39.6702503+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:40.6701527+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:41.9583767+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:42.6856121+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:43.6736859+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:44.6616953+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:46.0075736+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:46.6827408+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:47.6705881+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:48.7544586+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:50.1378834+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:51.2550774+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:52.2971819+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:52.6394006+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:54.0022640+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:54.9041205+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:55.6428814+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:57.0434272+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:58.0908533+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:26:59.6511666+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:00.2382549+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:00.9804293+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:01.9436481+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:02.6642251+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:03.6819261+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:03.7867167+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->0，锁DI 0->1，光幕DI 1->1。
2026-09-22T13:27:04.4250827+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T13:27:04.4702869+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T13:27:04.5968296+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T13:27:05.0323157+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T13:27:05.2302533+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:06.0385709+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:06.0446385+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->0，锁DI 0->1，光幕DI 1->1。
2026-09-22T13:27:06.5149203+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T13:27:06.5640870+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T13:27:06.6905021+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T13:27:07.0287451+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T13:27:07.1167754+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:07.6591154+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:08.8090657+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:10.0154647+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:10.9535324+08:00	Information	WireToGateBusinessService	装货已被授权的装货取消中止，不上报OperationResult：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8。
2026-09-22T13:27:11.2488472+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->0，锁DI 0->1，光幕DI 1->1。
2026-09-22T13:27:12.2539271+08:00	Information	WireToGateBusinessService	忽略重复SlotOperationCommand：attempt=45ddc8ca-71a6-c055-b819-8a2baf3f1cf8已开始且未结算，或已由装货取消接手，未再次执行仓门IO。
