2026-09-22T13:27:32.6347677+08:00	Information	SingleInstanceGuard	抢到了整机单例名字。名字=Global\SQCD.Agv.Wpf.Onboard。
2026-09-22T13:27:32.6871497+08:00	Information	App	车载端启动：agvId=AGV-L2-001，environment=Development，version=0.2.0-safety-mock-travel+ecdb3a0be1d95ef51e7d40493808ba4659274f41。
2026-09-22T13:27:33.3350503+08:00	Information	ModbusTcpIoModuleClient	已连接IO模块 127.0.0.1:48412，UnitId=255。
2026-09-22T13:27:33.3615447+08:00	Information	OnboardController	IO模块在线。
2026-09-22T13:27:33.3632633+08:00	Information	OnboardController	启动IO安全快照验证通过。
2026-09-22T13:27:34.5812226+08:00	Information	WireToGateSessionService	上层会话已建立：generation=1，readiness=Ready。
2026-09-22T13:27:45.4196532+08:00	Information	App	服务端请求录入Sublot：station=N1-3_N1-7，revision=1，expectedSublots=L2-DT-20260922T052719384Z。 
2026-09-22T13:27:46.0126521+08:00	Information	App	服务端请求录入Sublot：station=N1-3_N1-7，revision=1，expectedSublots=L2-DT-20260922T052719384Z。 
2026-09-22T13:27:47.4882824+08:00	Information	ModbusTcpIoModuleClient	已向物理1号仓发送开锁脉冲触发，DO地址=100。硬件负责自动复位。 
2026-09-22T13:27:47.5500768+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 0->1，锁DI 1->1，光幕DI 1->1。
2026-09-22T13:27:47.7737281+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->1，锁DI 1->0，光幕DI 1->1。
2026-09-22T13:27:48.1053861+08:00	Information	ModbusTcpIoModuleClient	1号仓IO变化：DO 1->0，锁DI 0->0，光幕DI 1->1。
2026-09-22T13:27:48.3632543+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:49.4355641+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:49.8544352+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:50.8391982+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:51.8610739+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:52.8212248+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:53.9362360+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:55.4688664+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:56.0292893+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:56.8576690+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:57.8443271+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:27:58.9857684+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
2026-09-22T13:28:00.2940716+08:00	Information	WireToGateBusinessService	忽略并发重复SlotOperationCommand：attempt=0588009d-9e48-ff5d-8d0c-234899ddd04a。
