
形状                                                   看到         应看到        判定
1 函数体顶层取闭包                                           D-1        D-1        ok
2 闭包内取闭包，捕获外层函数的变量                                   EMPTY      D-2        *** 空作用域
3 闭包内取闭包，捕获闭包自己体内定义的变量                               L-3        L-3        ok
4 普通 scriptblock 内取闭包，捕获外层函数的变量                      EMPTY      D-4        *** 空作用域
5 ForEach-Object 块内取闭包                               D-5        D-5        ok
6 函数内定义的函数里取闭包                                       EMPTY      D-6        *** 空作用域
7 闭包内取闭包，捕获闭包自己的参数                                   P-7        P-7        ok
8 三层，中间层的变量被最内层捕获                                    EMPTY      M-8        *** 空作用域
9 内层不取闭包（cs#203 的改法）                                 D-9        D-9        ok

捕获失败的形状：4 / 9
